line,type,issue,detail
201,normalize,date_normalized,"{""event_date"": ""2012-01-10T07:00:00Z""}"
202,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
203,normalize,date_normalized,"{""event_date"": ""2010-09-28T06:00:00Z""}"
204,normalize,date_normalized,"{""event_date"": ""2009-08-25T06:00:00Z""}"
205,normalize,date_normalized,"{""event_date"": ""2011-05-05T06:00:00Z""}"
206,normalize,date_normalized,"{""event_date"": ""2012-05-15T06:00:00Z""}"
207,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
208,normalize,date_normalized,"{""event_date"": ""2008-07-02T06:00:00Z""}"
209,normalize,date_normalized,"{""event_date"": ""2011-11-02T06:00:00Z""}"
210,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
211,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
212,normalize,date_normalized,"{""event_date"": ""2011-11-29T07:00:00Z""}"
213,normalize,date_normalized,"{""event_date"": ""2011-12-16T07:00:00Z""}"
214,normalize,date_normalized,"{""event_date"": ""2012-03-07T07:00:00Z""}"
215,normalize,date_normalized,"{""event_date"": ""2012-01-08T07:00:00Z""}"
216,normalize,date_normalized,"{""event_date"": ""2012-01-14T07:00:00Z""}"
217,normalize,date_normalized,"{""event_date"": ""2012-04-18T06:00:00Z""}"
218,normalize,date_normalized,"{""event_date"": ""2011-05-05T06:00:00Z""}"
219,normalize,date_normalized,"{""event_date"": ""2009-08-16T06:00:00Z""}"
220,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
221,normalize,date_normalized,"{""event_date"": ""2011-04-20T06:00:00Z""}"
222,normalize,date_normalized,"{""event_date"": ""2012-06-09T06:00:00Z""}"
223,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
224,normalize,date_normalized,"{""event_date"": ""2012-08-13T06:00:00Z""}"
225,normalize,date_normalized,"{""event_date"": ""2010-10-21T06:00:00Z""}"
226,normalize,date_normalized,"{""event_date"": ""2009-02-05T07:00:00Z""}"
227,normalize,date_normalized,"{""event_date"": ""2013-02-21T07:00:00Z""}"
228,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
229,normalize,date_normalized,"{""event_date"": ""2010-10-21T06:00:00Z""}"
230,normalize,date_normalized,"{""event_date"": ""2011-10-19T06:00:00Z""}"
231,normalize,date_normalized,"{""event_date"": ""2011-07-11T06:00:00Z""}"
232,normalize,date_normalized,"{""event_date"": ""2012-09-12T06:00:00Z""}"
233,normalize,date_normalized,"{""event_date"": ""2012-03-07T07:00:00Z""}"
234,normalize,date_normalized,"{""event_date"": ""2011-04-08T06:00:00Z""}"
235,normalize,date_normalized,"{""event_date"": ""2009-09-25T06:00:00Z""}"
236,normalize,date_normalized,"{""event_date"": ""2009-04-26T06:00:00Z""}"
237,normalize,date_normalized,"{""event_date"": ""2013-07-26T06:00:00Z""}"
